"CLASS 
NUMBER",DEPARTMENT,COURSE TITLE,SUBJECT,"CATALOG
 NO.",SECTION,COMPONENT,SCHEDULE,LEARNING DELIVERY MODE,ROOM ASSIGNMENT,INSTRUCTOR,"CLASS 
CAPACITY",TOTAL NUMBER OF ENROLLEES,RESTRICTIONS
1641,DAC,Residency for undergraduate students,RES,,,,,,,,,,
1641,DAC,Residency for undergraduate students,RES,,,,,,,,,,
12762,DAC,Residency forgraduate students,RES,,,,,,,,,,
18875,DAC,Critical Perspectives in the Arts,ARTS,   1,MHA,LEC,07:00 AM - 08:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
18996,DAC,Critical Perspectives in the Arts,ARTS,   1,MHB,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,4,FOR FRESHMEN BA POLITICAL SCIENCE ONLY
18970,DAC,Critical Perspectives in the Arts,ARTS,   1,MHC,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,15,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
18994,DAC,Critical Perspectives in the Arts,ARTS,   1,MHC1,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,FOR FRESHMEN BA POLITICAL SCIENCE ONLY
18995,DAC,Critical Perspectives in the Arts,ARTS,   1,MHC2,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,FOR FRESHMEN BA POLITICAL SCIENCE ONLY
20148,DAC,Critical Perspectives in the Arts,ARTS,   1,MHG,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
19273,DAC,Critical Perspectives in the Arts,ARTS,   1,TFB1,LEC,08:30 AM - 10:00 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,25,"FRESHMAN INTARMED (14, 15)"
19274,DAC,Critical Perspectives in the Arts,ARTS,   1,TFB2,LEC,08:30 AM - 10:00 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,23,"FRESHMAN INTARMED (14, 15)"
20149,DAC,Critical Perspectives in the Arts,ARTS,   1,TFC,LEC,10:00 AM - 11:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
18969,DAC,Critical Perspectives in the Arts,ARTS,   1,TFE1,LEC,01:00 PM - 02:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
20150,DAC,Critical Perspectives in the Arts,ARTS,   1,TFE2,LEC,01:00 PM - 02:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20151,DAC,Critical Perspectives in the Arts,ARTS,   1,TFI,LEC,04:00 PM - 05:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
12766,DAC,Critical Perspectives in Communication,COMM,  10,MHB1,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,18,FOR FRESHMEN BA BEHAVIORAL SCIENCES ONLY
12767,DAC,Critical Perspectives in Communication,COMM,  10,MHB2,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,17,FOR FRESHMEN BA BEHAVIORAL SCIENCES ONLY
19245,DAC,Critical Perspectives in Communication,COMM,  10,MHC1,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,"FRESHMAN DDM (16, 17)"
19246,DAC,Critical Perspectives in Communication,COMM,  10,MHC2,LEC,10:00 AM - 11:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,"FRESHMAN DDM (16, 17)"
19205,DAC,Critical Perspectives in Communication,COMM,  10,MHD1,LEC,11:30 AM - 01:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,"FRESHMAN BSPH (22, 23)"
19206,DAC,Critical Perspectives in Communication,COMM,  10,MHD2,LEC,11:30 AM - 01:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,6,"FRESHMAN BSPH (22, 23)"
20145,DAC,Critical Perspectives in Communication,COMM,  10,MHD3,LEC,11:30 AM - 01:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
19203,DAC,Critical Perspectives in Communication,COMM,  10,MHG1,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,20,"FRESHMAN BSPH (22, 23)"
19204,DAC,Critical Perspectives in Communication,COMM,  10,MHG2,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,19,"FRESHMAN BSPH (22, 23)"
19067,DAC,Critical Perspectives in Communication,COMM,  10,MHI1,LEC,04:00 PM - 05:30 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,17,FOR FRESHMEN BS BIOLOGY ONLY
19068,DAC,Critical Perspectives in Communication,COMM,  10,MHI2,LEC,04:00 PM - 05:30 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,17,FOR FRESHMEN BS BIOLOGY ONLY
19069,DAC,Critical Perspectives in Communication,COMM,  10,TFA1,LEC,07:00 AM - 08:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,16,FOR FRESHMEN BS BIOLOGY ONLY
19070,DAC,Critical Perspectives in Communication,COMM,  10,TFA2,LEC,07:00 AM - 08:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,17,FOR FRESHMEN BS BIOLOGY ONLY
19148,DAC,Critical Perspectives in Communication,COMM,  10,TFB1,LEC,08:30 AM - 10:00 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,14,"FRESHMAN BSPT (19, 20)"
19149,DAC,Critical Perspectives in Communication,COMM,  10,TFB2,LEC,08:30 AM - 10:00 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,9,"FRESHMAN BSPT (19, 20)"
20146,DAC,Critical Perspectives in Communication,COMM,  10,TFC,LEC,10:00 AM - 11:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
20147,DAC,Critical Perspectives in Communication,COMM,  10,TFD,LEC,11:30 AM - 01:00 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,
18850,DAC,Critical Perspectives in Communication,COMM,  10,TFG1,LEC,02:30 PM - 04:00 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,17,FOR FRESHMEN BA BEHAVIORAL SCIENCES ONLY
18851,DAC,Critical Perspectives in Communication,COMM,  10,TFG2,LEC,02:30 PM - 04:00 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,17,FOR FRESHMEN BA BEHAVIORAL SCIENCES ONLY
19261,DAC,Critical Perspectives in Communication,COMM,  10,TFI,LEC,04:00 PM - 05:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,25,0,"FRESHMAN DDM (16, 17)"
18965,DAC,Communication Skills I,COMM,I,MHA,LEC,07:00 AM - 08:30 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,15,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
18876,DAC,Communication Skills I,COMM,I,MHB1,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,20,FOR FRESHMEN BA DEVELOPMENT STUDIES ONLY
18962,DAC,Communication Skills I,COMM,I,MHB2,LEC,08:30 AM - 10:00 AM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,6,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
19324,DAC,Communication Skills I,COMM,I,MHG,LEC,02:30 PM - 04:00 PM MTH,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,4,FOR FRESHMEN BA POLITICAL SCIENCE ONLY
19322,DAC,Communication Skills I,COMM,I,TFA1,LEC,07:00 AM - 08:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,20,FOR FRESHMEN BA POLITICAL SCIENCE ONLY
19323,DAC,Communication Skills I,COMM,I,TFA2,LEC,07:00 AM - 08:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,20,FOR FRESHMEN BA POLITICAL SCIENCE ONLY
19019,DAC,Communication Skills I,COMM,I,TFD,LEC,11:30 AM - 01:00 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,14,FOR FRESHMEN BA SOCIAL SCIENCES (AREA ST) ONLY
19020,DAC,Communication Skills I,COMM,I,TFE,LEC,01:00 PM - 02:30 PM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,13,FOR FRESHMEN BA SOCIAL SCIENCES (AREA ST) ONLY
18966,DAC,Communication Skills II,COMM,II,TFA,LEC,07:00 AM - 08:30 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,15,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
18958,DAC,Communication Skills II,COMM,II,TFB1,LEC,08:30 AM - 10:00 AM TF,MODEL 1: BLENDED ONLINE LEARNING ,TBA,TBA,20,20,FOR FRESHMEN BA ORGANIZATIONAL COMMUNICATION ONLY
